query,article,article_id,score
Ai là Chủ nhiệm và Phó chủ nhiệm CLB trong khóa mới nhất?,"Các thành viên tiêu biểu: Chế Đình Sơn: Người sáng lập - Chủ nhiệm khóa 2010-2011, Nguyễn Tuấn Ninh: Phó chủ nhiệm CLB khóa 2011-2012, Cao Hải Yến: Chủ nhiệm CLB khóa 2011-2012, Chu Ngọc Định: Trưởng ban Tài chính - Nhân sự khóa 2012-2013, Lại Đắc Việt: Trưởng ban Đào Tạo khóa 2012-2013, Lê Văn Thanh: Trưởng ban Sự Kiện khóa 2012-2013, Lê Xuân Tùng: Trưởng ban Đào Tạo khóa 2013-2014, Trần Hoàng Linh: Trưởng ban sự kiện khóa 2013-2014, Nguyễn Hoàng Nam: Chủ nhiệm khóa 2015-2016, Trần Phú Quang: Phó chủ nhiệm khóa 2015-2016, Đàm Bá Quyền: Chủ nhiệm khóa 2016-2017, Nguyễn Nhân Đức: Phó Chủ Nhiệm khóa 2016-2017, Bùi Thị, Anh Phương: Trưởng ban Sự Kiện khóa 2016-2017, Nguyễn Công Hậu: Trưởng ban truyền thông khóa 2016-2107, Nguyễn Thắng Hải An: Phó chủ nhiệm khóa 2016-2107, Nguyễn Thị Phương: Trưởng ban tài chính nhân sự khóa 2016-2017, Triệu Khương Duy: Phó chủ nhiệm khóa 2017-2018, Nguyễn Quốc Bình: Chủ nhiệm khóa 2017-2018, Chu Văn Đăng: Trưởng ban sự kiện khóa 2017-2018, Lê Duy Bách: Thành viên ban đào tạo khóa 2017-2018, Nguyễn Quang Linh: Trưởng ban truyền thông khóa 2017-2018, Đỗ Hoàng Phương Thảo: Trưởng ban tài chính nhân sự khóa 2017-2018, Lê Bình Dương: Chủ nhiệm khóa 2018-2019, Trần Đại Nghĩa: Chủ nhiệm khóa 2018-2019, Trần Việt Huy: Trưởng ban đào tạo khóa 2018-2019, Đỗ Mai Phương: Trưởng ban sự kiện khóa 2018-2019, Nguyễn Mạnh Cường: Chủ nhiệm khóa 2019-2020, Nguyễn Thế Anh: Phó chủ nhiệm khóa 2019-2020, Nguyễn Tùng Lâm: Phó chủ nhiệm khóa 2019-2020, Nguyễn Văn Tuệ: Trưởng ban đào tạo khóa 2019-2020, Trần Văn Thắng: Trưởng ban sự kiện khóa 2019-2020, Nguyễn Văn Hòa: Chủ nhiệm khóa 2020-2021, Nguyễn Văn Học: Chủ nhiệm khóa 2020-2021, Hoàng Đức Minh: Phó chủ nhiệm khóa 2021-2022, Nguyễn Duy Dũng: Phó chủ nhiệm khóa 2021-2022, Lê Xuân Minh: Phó chủ nhiệm khóa 2021-2022, Cồ thị Phương Hoa: Chủ nhiệm CLB khóa 2021-2022, Trần Vân Anh: Trưởng ban tài chính nhân sự khóa 2021-2022, Lê Quang Dũng: Trưởng ban truyền thông khóa 2021-2022, Đoàn Ngọc Khánh: Trưởng ban sự kiện khóa 2021-2022, Nguyễn Tiến Hùng: Phó chủ nhiệm khóa 2022-2023, Đỗ Xuân Hướng: Chủ nhiệm CLB khóa 2022-2023, Lưu Minh Hiếu: Phó chủ nhiệm khóa 2022-2023, Phạm Thị Linh Mỹ: Trưởng ban tài chính nhân sự khóa 2022-2023, Đặng Nguyệt Minh: Trưởng ban sự kiện khóa 2022-2023, Nguyễn Quốc Hưng: Trưởng ban đào tạo khóa 2022-2023, Đinh Hoàng Anh: Phó chủ nhiệm khóa 2023-2024, Đặng Trung Hiếu: Chủ nhiệm khóa 2023-2024, Phan Thanh Tân: Trưởng ban sự kiện khóa 2023-2024, Nguyễn Bá Việt Hoàng: Trưởng ban đối ngoại khóa 2023-2024, Bùi Thế Vĩnh Nguyên: Chủ nhiệm CLB khóa 2024-2025, Nguyễn Hoa Thanh Tùng: Phó chủ nhiệm khóa 2024-2025, Đặng Huyền Trang: Phó chủ nhiệm khóa 2024-2025, Giáp Minh Hiếu: Trưởng ban đào tạo khóa 2024-2025, Phan An Phúc: Trưởng ban sự kiện khóa 2024-2025, Đỗ Vũ Hải Đăng: Trưởng ban truyền thông khóa 2024-2025, Phạm Mai Linh: Trưởng ban đối ngoại khóa 2024-2025, Trần Ngọc Ánh: Trưởng ban tài chính nhân sự khóa 2024-2025",93,1.0
"trong store có rất nhiều game hay và thú vị, mọi người hãy cài đặt và thưởng thức nha.","Anh ơi, anh có thể mô tả rõ cho em về môi trường hoạt động trong CLB như nào không ạ ? Môi trường làm việc của CLB rất năng động, chuyên nghiệp, và liên tục đổi mới nha bạn. Bạn sẽ được gặp mặt và quen biết với nhiều bạn bè mới, được nói chuyện và học tập cùng các bạn và anh chị đều là những người rất tài năng trong trường. Ngoài ra, CLB hoạt động theo hình thức khoá trên dạy khoá dưới, các khoá sau khi ra trường đều sẽ quay lại đóng góp cho CLB.",17,0.0
"trong quá trình hoạt động, ngoài các khoá học, clb còn rất nhiều hoạt động khác bên lề nhằm gắn kết các thành viên trong clb như biggame, picnic,...",PHÒNG TRUYỀN THỐNG:,88,0.0
"theo em thấy trên tiêu trí hoạt động là giúp đỡ các bạn sinh viên đam mê với lập trình, tại sao lại tuyển ít như vậy ?","Cuộc đua số là cuộc thi lập trình công nghệ thường niên dành cho các sinh viên yêu thích công nghệ trên toàn quốc được tổ chức bởi tập đoàn FPT. Với mục đích tạo sân chơi hấp dẫn, bổ ích, thúc đẩy đam mê học hỏi, cập nhật, thực hành và sáng tạo các công nghệ mới trên thế giới, trên cơ sở hiểu biết và nắm vững nhu cầu của các ngành công nghiệp cho sinh viên Việt Nam, góp phần xây dựng nguồn lực chất lượng cao, đáp ứng nhu cầu của cuộc cách mạng 4.0",81,0.0
clb lập trình ptit là một trong những clb học thuật được thành lập sớm nhất tại học viện.,"clb lập trình ptit là một trong những clb học thuật được thành lập sớm nhất tại học viện. clb có một bề dày truyền thống đáng tự hào, một truyền thống được xây dựng và ngày càng lớn mạnh qua từng thế hệ, từng giải thưởng, từng thành tựu mà clb đã đạt được.",89,1.0
CLB khuyến khích thành viên học thêm những kỹ năng nào ngoài lập trình?,"Anh ơi cho em hỏi định hướng của clb mình là gì và tại sao em nên đăng kí vào clb mình ạ ? Mục tiêu của clb là chia sẻ để cùng nhau phát triển, khi em tham gia clb, em sẽ đc dạy các kiến thức, phục vụ cho các môn trên trường, đồng thời em cũng sẽ được tham gia vào các sự kiện, hoạt động ngoại khóa, hoàn thiện cả kĩ năng cứng và kĩ năng mềm. ",28,1.0
"clb sẽ tuyển tầm 25 bạn nhé em, con số này có thể du di lên xuống 1-2 bạn tuỳ theo chất lượng training mỗi năm.","Code Battle là cuộc thi được tổ chức nhằm mục đích phát huy tinh thần học tập và là cơ hội cho sinh viên được giao lưu. Do các câu lạc bộ đến từ các trường đại học khu vực Hà Nội: Đại học Thăng Long, FPT và Học viện Bưu chính Viễn thông,... đồng tổ chức.",80,0.0
CLB có kế hoạch đào tạo lập trình viên mới theo lộ trình ra sao?,Lộ trình học tại CLB:,57,1.0
nếu em học khoa học máy tính thì em có phù hợp với định hướng của clb không ạ ?,"nếu em học khoa học máy tính thì em có phù hợp với định hướng của clb không ạ ? theo anh biết thì trong 3 năm đầu, chương trình học của cntt và khmt khá là tương tự nhau, lúc này lộ trình đào tạo của clb vẫn rất phù hợp với chương trình trên trường của em. sau đó em nếu em thích thì hoàn toàn có thể tự tạo ra 1 team dự án mới cho clb theo đúng chuyên ngành mình đang theo ",35,1.0
Ai đang đảm nhận các vị trí lãnh đạo chính của CLB khóa mới nhất?, Các thầy cô ưu ái it hay pro hơn thế ạ ? Ở CLB 2 năm mình chưa thấy các thầy cô ưu ái bên nào hơn cả. ,48,0.0
CLB thường sử dụng những kênh truyền thông nào để quảng bá hoạt động?,"Các thành viên tiêu biểu: Chế Đình Sơn: Người sáng lập - Chủ nhiệm khóa 2010-2011, Nguyễn Tuấn Ninh: Phó chủ nhiệm CLB khóa 2011-2012, Cao Hải Yến: Chủ nhiệm CLB khóa 2011-2012, Chu Ngọc Định: Trưởng ban Tài chính - Nhân sự khóa 2012-2013, Lại Đắc Việt: Trưởng ban Đào Tạo khóa 2012-2013, Lê Văn Thanh: Trưởng ban Sự Kiện khóa 2012-2013, Lê Xuân Tùng: Trưởng ban Đào Tạo khóa 2013-2014, Trần Hoàng Linh: Trưởng ban sự kiện khóa 2013-2014, Nguyễn Hoàng Nam: Chủ nhiệm khóa 2015-2016, Trần Phú Quang: Phó chủ nhiệm khóa 2015-2016, Đàm Bá Quyền: Chủ nhiệm khóa 2016-2017, Nguyễn Nhân Đức: Phó Chủ Nhiệm khóa 2016-2017, Bùi Thị, Anh Phương: Trưởng ban Sự Kiện khóa 2016-2017, Nguyễn Công Hậu: Trưởng ban truyền thông khóa 2016-2107, Nguyễn Thắng Hải An: Phó chủ nhiệm khóa 2016-2107, Nguyễn Thị Phương: Trưởng ban tài chính nhân sự khóa 2016-2017, Triệu Khương Duy: Phó chủ nhiệm khóa 2017-2018, Nguyễn Quốc Bình: Chủ nhiệm khóa 2017-2018, Chu Văn Đăng: Trưởng ban sự kiện khóa 2017-2018, Lê Duy Bách: Thành viên ban đào tạo khóa 2017-2018, Nguyễn Quang Linh: Trưởng ban truyền thông khóa 2017-2018, Đỗ Hoàng Phương Thảo: Trưởng ban tài chính nhân sự khóa 2017-2018, Lê Bình Dương: Chủ nhiệm khóa 2018-2019, Trần Đại Nghĩa: Chủ nhiệm khóa 2018-2019, Trần Việt Huy: Trưởng ban đào tạo khóa 2018-2019, Đỗ Mai Phương: Trưởng ban sự kiện khóa 2018-2019, Nguyễn Mạnh Cường: Chủ nhiệm khóa 2019-2020, Nguyễn Thế Anh: Phó chủ nhiệm khóa 2019-2020, Nguyễn Tùng Lâm: Phó chủ nhiệm khóa 2019-2020, Nguyễn Văn Tuệ: Trưởng ban đào tạo khóa 2019-2020, Trần Văn Thắng: Trưởng ban sự kiện khóa 2019-2020, Nguyễn Văn Hòa: Chủ nhiệm khóa 2020-2021, Nguyễn Văn Học: Chủ nhiệm khóa 2020-2021, Hoàng Đức Minh: Phó chủ nhiệm khóa 2021-2022, Nguyễn Duy Dũng: Phó chủ nhiệm khóa 2021-2022, Lê Xuân Minh: Phó chủ nhiệm khóa 2021-2022, Cồ thị Phương Hoa: Chủ nhiệm CLB khóa 2021-2022, Trần Vân Anh: Trưởng ban tài chính nhân sự khóa 2021-2022, Lê Quang Dũng: Trưởng ban truyền thông khóa 2021-2022, Đoàn Ngọc Khánh: Trưởng ban sự kiện khóa 2021-2022, Nguyễn Tiến Hùng: Phó chủ nhiệm khóa 2022-2023, Đỗ Xuân Hướng: Chủ nhiệm CLB khóa 2022-2023, Lưu Minh Hiếu: Phó chủ nhiệm khóa 2022-2023, Phạm Thị Linh Mỹ: Trưởng ban tài chính nhân sự khóa 2022-2023, Đặng Nguyệt Minh: Trưởng ban sự kiện khóa 2022-2023, Nguyễn Quốc Hưng: Trưởng ban đào tạo khóa 2022-2023, Đinh Hoàng Anh: Phó chủ nhiệm khóa 2023-2024, Đặng Trung Hiếu: Chủ nhiệm khóa 2023-2024, Phan Thanh Tân: Trưởng ban sự kiện khóa 2023-2024, Nguyễn Bá Việt Hoàng: Trưởng ban đối ngoại khóa 2023-2024, Bùi Thế Vĩnh Nguyên: Chủ nhiệm CLB khóa 2024-2025, Nguyễn Hoa Thanh Tùng: Phó chủ nhiệm khóa 2024-2025, Đặng Huyền Trang: Phó chủ nhiệm khóa 2024-2025, Giáp Minh Hiếu: Trưởng ban đào tạo khóa 2024-2025, Phan An Phúc: Trưởng ban sự kiện khóa 2024-2025, Đỗ Vũ Hải Đăng: Trưởng ban truyền thông khóa 2024-2025, Phạm Mai Linh: Trưởng ban đối ngoại khóa 2024-2025, Trần Ngọc Ánh: Trưởng ban tài chính nhân sự khóa 2024-2025",93,1.0
"c++ là một trong những ngôn ngữ lập trình khá nổi tiếng, nó là bản nâng cấp của ngôn ngữ ngữ lập trình c khi có thêm oop (object oriented programming - lập trình hướng đối tượng).","game c++ của khoá d20: c++ là một trong những ngôn ngữ lập trình khá nổi tiếng, nó là bản nâng cấp của ngôn ngữ ngữ lập trình c khi có thêm oop (object oriented programming - lập trình hướng đối tượng). trong vòng 1 tháng các thành viên sẽ được làm quen với lập trình hướng đối tượng sử dụng ngôn ngữ c++. khóa học kết thúc bằng cuộc thi làm game, trong cuộc thi này các thành viên sẽ vận dụng kiến thức mình tích luỹ được để làm project đầu tiên trong sự nghiệp làm lập trình viên của mình.",65,1.0
CLB có các hoạt động nào giúp gắn kết các khóa thành viên?,"Code Battle là cuộc thi được tổ chức nhằm mục đích phát huy tinh thần học tập và là cơ hội cho sinh viên được giao lưu. Do các câu lạc bộ đến từ các trường đại học khu vực Hà Nội: Đại học Thăng Long, FPT và Học viện Bưu chính Viễn thông,... đồng tổ chức.",80,1.0
anh chế đình sơn - người anh cả của đại gia đình proptit:,"Code Battle là cuộc thi được tổ chức nhằm mục đích phát huy tinh thần học tập và là cơ hội cho sinh viên được giao lưu. Do các câu lạc bộ đến từ các trường đại học khu vực Hà Nội: Đại học Thăng Long, FPT và Học viện Bưu chính Viễn thông,... đồng tổ chức.",80,0.0
"sự thành công của các kỳ thi trước đã tạo nên một sân chơi vui và bổ ích cho sinh viên, góp phần thúc đẩy phong trào học tập các môn lập trình và phát triển phần mềm cũng như bước đầu nâng cao thành tích của đội tuyển olympic tin học sinh viên.","học lập trình có cần giỏi toán không ạ ? Toán cũng là 1 lợi thế, tuy nhiên không giỏi cũng không sao.",34,0.0
3 vòng gồm :,"Nghĩa vụ: Tham gia đầy đủ, nhiệt tình, có tinh thần trách nhiệm cao trong các hoạt động của CLB. Chấp hành nghiêm chỉnh nội quy của CLB đề ra. Hoàn thành nhiệm vụ được giao đúng thời hạn quy định. Hoàn thành đóng phí hoạt động hàng tháng đúng thời gian quy định. Tham gia đóng góp ý kiến, xây dựng và phát triển CLB.",95,0.0
"phó chủ nhiệm khóa 2019-2020, nguyễn tùng lâm:",Nếu chưa có kiến thức về lập trình thì có thể tham gia CLB không ? Đa số mọi người đều xuất phát từ con số 0 nên bạn cũng không cần lo lắng quá. Khi bạn vào CLB các anh chị sẽ tận tình chỉ dạy và nếu bạn cố gắng thì khả năng code của bạn sẽ ngày càng được cải thiện.,11,0.0
"vì anh chị không chỉ đánh giá về khả năng lập trình của e mà còn đánh giá qua nhiều yếu tố khác như hoạt động của e với mọi người như thế nào.ví dụ như phương châm của clb là chia sẻ để cùng nhau phát triển, nếu e vào clb mà không nói chuyện với ai, chỉ học 1 mình, không giúp đỡ đc ai thì sẽ không được chấp nhận.","theo em thấy thì trường mình có 2 clb về IT, em có nên đăng ký training và nếu pass thì có thể tham gia cả 2 cùng 1 lúc được không ạ ? Em hoàn toàn có thể thử sức với cả 2 CLB trong quá trình training để lựa chọn ra CLB phù hợp với bản thân mình nhất. Tuy nhiên, theo anh chị thời gian học đại học em cần phải chia thời gian cho nhiều hoạt động khác nhau, nên nếu em không sắp xếp được thời gian thì sẽ ảnh hưởng tới sức khỏe và chất lượng cuộc sống nhé. Vì vậy em nên cân nhắc vấn đề này",22,0.0
Khi nào thành viên có thể ứng cử hoặc đề cử vị trí lãnh đạo trong CLB?,NHỮNG THÀNH VIÊN TIÊU BIỂU:,91,0.0
"khóa học kết thúc bằng cuộc thi làm game, trong cuộc thi này các thành viên sẽ vận dụng kiến thức mình tích luỹ được để làm project đầu tiên trong sự nghiệp làm lập trình viên của mình.","PROCWAR Là một cuộc thi được tổ chức nhằm nâng cao tư duy thuật toán cho các thành viên của CLB Lập Trình PTIT. Mỗi thành viên sẽ chuẩn bị problems và solutions của từng bài sau đó sẽ được tổng hợp thành một contest chung. Người chơi nào giải quyết được nhiều problems nhất sẽ là người giành chiến thắng. Chính vì sự thú vị của cuộc thi, PROCWAR luôn được các thành viên trong CLB tham gia nồng nhiệt.",72,0.0
Làm thế nào để trở thành team leader trong CLB?,"Quyền lợi: Được tham gia vào các hoạt động của CLB. Được tham gia ứng cử, đề cử, bầu cử các vị trí lãnh đạo. Được tham gia đóng góp ý kiến xây dựng và phát triển CLB. Chia sẻ và được chia sẻ kiến thức, kỹ năng cần thiết. Các thành viên có quyền bình đẳng như nhau. Thỏa sức tham gia tìm hiểu, phát triển các lĩnh vực khác nhau không có giới hạn.Được tham gia vào các team dự án khi có đủ kiến thức.",94,1.0
hình thức tuyển thành viên clb ?,"em là sinh viên năm nhất trường ngoài PTIT em có được đăng ký trở thành thành viên clb đc ko ạ ? Hoàn toàn được nha em, CLB luôn hoan nghênh các bạn có niềm đam mê với lập trình.",40,0.0
khóa học kéo dài trong hai tháng bao gồm các vấn đề như:,"kì 2 năm nhất: trong kì ii năm nhất, các thành viên học thêm về cấu trúc dữ liệu và giải thuật. khóa học kéo dài trong hai tháng bao gồm các vấn đề như: sắp xếp và tìm kiếm, các phương pháp sinh, chia để trị, quy hoạch động, đồ thị,... sẽ trang bị cho thành viên câu lạc bộ những kiến thức cơ bản và nâng cao trong bộ môn cấu trúc dữ liệu và giải thuật.",60,1.0
kì 1 năm nhất:,"kì 1 năm nhất:  ngôn ngữ c++ đóng một vai trò quan trọng trong việc học lập trình. nắm bắt được tầm quan trọng đó câu lạc bộ đã xây dựng lên khóa học lập trình với c++ để cung cấp một lượng kiến thức về ngôn ngữ c++ nói riêng, và các khái niệm khác trong lập trình nói chung cho các thành viên trong clb.",59,1.0
